Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P9WFY9	reviewed	TRMB_MYCTU	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB Rv0208c MTCY08D5.03c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	263
P9WG01	reviewed	SUGB_MYCTU	Trehalose transport system permease protein SugB	sugB Rv1237	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	274
P9WG03	reviewed	SUGA_MYCTU	Trehalose transport system permease protein SugA	sugA Rv1236	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	307
P9WG05	reviewed	PSTC2_MYCTU	Phosphate transport system permease protein PstC 2	pstC2 Rv0929 MTCY21C12.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	324
P9WG11	reviewed	PSTA1_MYCTU	Phosphate transport system permease protein PstA 1	pstA1 Rv0930 MTCY21C12.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	308
P9WG21	reviewed	DRRC_MYCTU	Probable doxorubicin resistance ABC transporter permease protein DrrC	drrC Rv2938	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	276
P9WG33	reviewed	TAL_MYCTU	Transaldolase (EC 2.2.1.2)	tal Rv1448c MTCY493.06	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	373
P9WG65	reviewed	MPT53_MYCTU	Soluble secreted antigen MPT53	mpt53 mpb53 Rv2878c MTCY274.09c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	173
P9WG71	reviewed	THIL_MYCTU	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	thiL Rv2977c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	333
P9WG73	reviewed	THIG_MYCTU	Thiazole synthase (EC 2.8.1.10)	thiG Rv0417 MTCY22G10.14	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	252
P9WG79	reviewed	THIC_MYCTU	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC Rv0423c MTCY22G10.20c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	547
P9WG81	reviewed	FOLD_MYCTU	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD Rv3356c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	281
P9WG83	reviewed	INLPE_MYCTU	(3R)-3-[(carboxymethyl)amino]fatty acid oxygenase/decarboxylase (EC 1.14.11.78)	Rv0097 MTCY251.16	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	289
P9WG95	reviewed	ILVA_MYCTU	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	ilvA Rv1559 MTCY48.06c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	429
P9WG97	reviewed	TATC_MYCTU	Sec-independent protein translocase protein TatC	tatC Rv2093c MTCY49.33c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	308
P9WG99	reviewed	TATB_MYCTU	Sec-independent protein translocase protein TatB	tatB Rv1224 MTCI61.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	131
P9WGA1	reviewed	TATA_MYCTU	Sec-independent protein translocase protein TatA	tatA Rv2094c MTCY49.34c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83
P9WGB3	reviewed	COBIJ_MYCTU	Cobalamin biosynthesis protein CobIJ [Includes: Precorrin-2 C(20)-methyltransferase (EC 2.1.1.130) (S-adenosyl-L-methionine--precorrin-2 methyltransferase) (SP2MT); Precorrin-3B C17-methyltransferase (EC 2.1.1.131) (S-adenosyl-L-methionine--precorrin-3B methyltransferase)]	cobIJ cobI Rv2066 MTCY49.05	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	508
P9WGB5	reviewed	METZ_MYCTU	O-succinylhomoserine sulfhydrylase (OSH sulfhydrylase) (OSHS sulfhydrylase) (EC 2.5.1.-)	metZ Rv0391	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	406
P9WGB9	reviewed	GLST_MYCTU	Glycolipid sulfotransferase Rv1373 (EC 2.8.2.-)	Rv1373	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	326
P9WGC7	reviewed	SUCD_MYCTU	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD Rv0952 MTCY10D7.22c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	303
P9WGC9	reviewed	TSAC_MYCTU	Putative threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (tRNA threonylcarbamoyladenosine biosynthesis protein Rv1301)	Rv1301 MTCY373.21	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	217
P9WGD5	reviewed	SSB_MYCTU	Single-stranded DNA-binding protein (SSB)	ssb Rv0054 MTCY21D4.17	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	164
P9WGE3	reviewed	RSFA_MYCTU	Anti-sigma-F factor antagonist RsfA (Anti-anti-sigma F factor RsfA)	rsfA Rv1365c MTCY02B10.29c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	128
P9WGF3	reviewed	SMC_MYCTU	Chromosome partition protein Smc	smc Rv2922c MTCY338.11c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1205
P9WGF7	reviewed	Y1739_MYCTU	Probable sulfate transporter Rv1739c	Rv1739c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	560
P9WGH3	reviewed	SIGI_MYCTU	Probable ECF RNA polymerase sigma factor SigI (ECF sigma factor SigI) (Alternative RNA polymerase sigma factor SigI) (RNA polymerase sigma-I factor) (Sigma-I factor)	sigI Rv1189	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	290
P9WGJ3	reviewed	SERB1_MYCTU	Phosphoserine phosphatase SerB1 (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)	serB1 Rv0505c MTCY20G9.32c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	308
P9WGN3	reviewed	SECY_MYCTU	Protein translocase subunit SecY	secY Rv0732 MTV041.06	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	441
P9WGN7	reviewed	SECE_MYCTU	Protein translocase subunit SecE	secE Rv0638 MTCY20H10.19	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	161
P9WGN9	reviewed	SECF_MYCTU	Protein translocase subunit SecF	secF Rv2586c MTCY227.15	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	442
P9WGP1	reviewed	SECD_MYCTU	Protein translocase subunit SecD	secD Rv2587c MTCY227.14	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	573
P9WGP9	reviewed	SADH_MYCTU	Putative oxidoreductase SadH (EC 1.-.-.-)	sadH Rv3085	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	276
P9WGU3	reviewed	MODA_MYCTU	Molybdate-binding protein ModA (Molybdate/tungstate-binding protein ModA)	modA Rv1857 MTCY359.16c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	261
P9WGU5	reviewed	Y1280_MYCTU	Uncharacterized protein Rv1280c	Rv1280c MTCY50.02	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	591
P9WGU7	reviewed	LPQW_MYCTU	Probable monoacyl phosphatidylinositol tetramannoside-binding protein LpqW	lpqW Rv1166	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	635
P9WGV5	reviewed	TAER_MYCTU	Trans-acting enoyl reductase (EC 1.3.1.-)	Rv2953	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	418
P9WGV9	reviewed	RUVC_MYCTU	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	ruvC Rv2594c MTCY227.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	188
P9WGW1	reviewed	RUVB_MYCTU	Holliday junction branch migration complex subunit RuvB (EC 3.6.4.12)	ruvB Rv2592c MTCY227.09	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344
P9WGW5	reviewed	RTCB_MYCTU	RNA-splicing ligase RtcB (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)	rtcB Rv2631 MTCY441.01	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	432
P9WGW9	reviewed	RSMG_MYCTU	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase) (Glucose-inhibited division protein B)	rsmG gidB Rv3919c MTV028.10c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	224
P9WGY1	reviewed	RRF_MYCTU	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr Rv2882c MTCY274.13c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	185
P9WGY3	reviewed	RRAAH_MYCTU	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112) (Regulator of ribonuclease activity homolog) (RraA-like protein)	rraA Rv3853 MTCY01A6.15c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	157
P9WGY5	reviewed	RPOZ_MYCTU	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ Rv1390 MTCY21B4.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	110
P9WGZ3	reviewed	RNPA_MYCTU	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA Rv3923c MTV028.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	116
P9WGZ5	reviewed	RNZ_MYCTU	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	rnz Rv2407 MTCY253.13c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	273
P9WGZ7	reviewed	RNPH_MYCTU	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph rphA Rv1340 MTCY02B10.04 MTCY130.25	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	259
P9WH01	reviewed	RNH2_MYCTU	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB Rv2902c MTCY274.33c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	264
P9WH07	reviewed	RSMA_MYCTU	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	ksgA rsmA Rv1010 MTCI237.27	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	317
P9WH23	reviewed	QCRA_MYCTU	Cytochrome bc1 complex Rieske iron-sulfur subunit (Cytochrome bc1 reductase complex subunit QcrA) (Rieske iron-sulfur protein) (Ubiquinol--cytochrome c reductase iron-sulfur subunit)	qcrA Rv2195 MTCY190.06	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	429
P9WH29	reviewed	RS7_MYCTU	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	rpsG rps7 Rv0683 MTV040.11	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	156
P9WH33	reviewed	RS5_MYCTU	Small ribosomal subunit protein uS5 (30S ribosomal protein S5)	rpsE Rv0721 MTCY210.40	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	220
P9WH35	reviewed	RS4_MYCTU	Small ribosomal subunit protein uS4 (30S ribosomal protein S4)	rpsD Rv3458c MTCY13E12.11c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	201
P9WH37	reviewed	RS3_MYCTU	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)	rpsC Rv0707 MTCY210.26	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	274
P9WH57	reviewed	RS14Z_MYCTU	Small ribosomal subunit protein uS14B (30S ribosomal protein S14 type Z)	rpsZ rpsN1 Rv0717 MTCY210.36	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	61
P9WH61	reviewed	RS13_MYCTU	Small ribosomal subunit protein uS13 (30S ribosomal protein S13)	rpsM Rv3460c MTCY13E12.13c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	124
P9WH63	reviewed	RS12_MYCTU	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)	rpsL rps12 Rv0682 MTV040.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	124
P9WH67	reviewed	RS10_MYCTU	Small ribosomal subunit protein uS10 (30S ribosomal protein S10)	rpsJ rpsX Rv0700 MTCY210.19	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	101
P9WH73	reviewed	RIR2A_MYCTU	Ribonucleoside-diphosphate reductase subunit beta nrdF1 (EC 1.17.4.1) (Ribonucleotide reductase R2-1 small subunit) (Ribonucleotide reductase small subunit 1)	nrdF1 Rv1981c MTCY39.38	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	322
P9WH85	reviewed	RL4_MYCTU	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)	rplD Rv0702 MTCY210.21	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	223
P9WHA5	reviewed	RL2_MYCTU	Large ribosomal subunit protein uL2 (50S ribosomal protein L2)	rplB Rv0704 MTCY210.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	280
P9WHB5	reviewed	RL25_MYCTU	Large ribosomal subunit protein bL25 (50S ribosomal protein L25) (General stress protein CTC)	rplY ctc Rv1015c MTCY10G2.34	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	215
P9WHC1	reviewed	RL22_MYCTU	Large ribosomal subunit protein uL22 (50S ribosomal protein L22)	rplV Rv0706 MTCY210.25	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	197
P9WHC3	reviewed	RL21_MYCTU	Large ribosomal subunit protein bL21 (50S ribosomal protein L21)	rplU Rv2442c MTCY428.04	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	103
P9WHC7	reviewed	RL1_MYCTU	Large ribosomal subunit protein uL1 (50S ribosomal protein L1)	rplA Rv0641 MTCY20H10.22	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	235
P9WHD5	reviewed	RL16_MYCTU	Large ribosomal subunit protein uL16 (50S ribosomal protein L16)	rplP Rv0708 MTCY210.27	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	138
P9WHE1	reviewed	RL13_MYCTU	Large ribosomal subunit protein uL13 (50S ribosomal protein L13)	rplM Rv3443c MTCY77.15c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	147
P9WHE3	reviewed	RL7_MYCTU	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12)	rplL Rv0652 MTCY20H10.33	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	130
P9WHE5	reviewed	RL11_MYCTU	Large ribosomal subunit protein uL11 (50S ribosomal protein L11)	rplK Rv0640 MTCY20H11.21	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	142
P9WHF9	reviewed	THTR_MYCTU	Putative thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese-like protein)	cysA1 cysA Rv3117 MTCY164.27; cysA2 Rv0815c MTV043.07c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	277
P9WHH5	reviewed	STHA_MYCTU	Probable soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	sthA Rv2713 MTCY05A6.34	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	468
P9WHI9	reviewed	RECF_MYCTU	DNA replication and repair protein RecF	recF Rv0003 MTCY10H4.01	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	385
P9WHJ9	reviewed	RADA_MYCTU	DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms)	radA Rv3585 MTV024.03	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	480
P9WHK9	reviewed	PYRE_MYCTU	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE umpA Rv0382c MTV036.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	179
P9WHL1	reviewed	PYRD_MYCTU	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Rv2139 MTCY270.29c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	357
P9WHL3	reviewed	PYRC_MYCTU	Dihydroorotase (DHOase) (EC 3.5.2.3)	pyrC Rv1381 MTCY02B12.15	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	430
P9WHL5	reviewed	PURQ_MYCTU	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	purQ Rv0788 MTCY369.32	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	224
P9WHL9	reviewed	PURK_MYCTU	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK Rv3276c MTCY71.16c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	429
P9WHM3	reviewed	PURU_MYCTU	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)	purU Rv2964 MTCY349.23c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	310
P9WHM7	reviewed	PUR9_MYCTU	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH Rv0957 MTCY10D7.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	523
P9WHM9	reviewed	PUR2_MYCTU	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD Rv0772 MTCY369.17	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	422
P9WHN3	reviewed	PURA_MYCTU	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA Rv0357c MTCY13E10.19c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	432
P9WHN9	reviewed	PHP_MYCTU	Phosphotriesterase homology protein	php Rv0230c MTCY08D5.26c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	326
P9WHP1	reviewed	PTA_MYCTU	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	pta Rv0408 MTCY22G10.04	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	690
P9WHP7	reviewed	TRUB_MYCTU	tRNA pseudouridine synthase B (EC 5.4.99.25) (MTB-TRUB) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB Rv2793c MTV002.58c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	298
P9WHP9	reviewed	TRUA_MYCTU	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	truA Rv3455c MTCY13E12.08c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	297
P9WHQ5	reviewed	PSD_MYCTU	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd Rv0437c MTV037.01c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	231
P9WHR1	reviewed	RIP3_MYCTU	Putative zinc metalloprotease Rip3	rip3 Rv2625c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	393
P9WHS5	reviewed	HTPX_MYCTU	Protease HtpX homolog (EC 3.4.24.-)	htpX Rv0563 MTCY25D10.42 MTV039.01	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	286
P9WHS9	reviewed	DAPE_MYCTU	Putative succinyl-diaminopimelate desuccinylase DapE (SDAP desuccinylase) (EC 3.5.1.18)	dapE Rv1202	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	354
P9WHT3	reviewed	AMPA_MYCTU	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA pepB Rv2213 MTCY190.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	515
P9WHT7	reviewed	TSAD_MYCTU	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	tsaD gcp Rv3419c MTCY78.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344
P9WHU7	reviewed	P5CR_MYCTU	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC Rv0500 MTCY20G9.26	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	295
P9WHU9	reviewed	PROB_MYCTU	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB Rv2439c MTCY428.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	376
P9WHV1	reviewed	PROA_MYCTU	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA Rv2427c MTCY428.20	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	415
P9WHV3	reviewed	PRMC_MYCTU	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (M.MtuHHemKP) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC hemK Rv1300 MTCY373.20	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	304
P9WHW1	reviewed	PPIB_MYCTU	Probable peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Rotamase B)	ppiB ppi Rv2582 MTCY227.19c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	308
P9WI09	reviewed	PPE29_MYCTU	Uncharacterized PPE family protein PPE29	PPE29 Rv1801	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	423
P9WI31	reviewed	PPE15_MYCTU	PPE family protein PPE15 (Mycobacterial perilipin-1) (MPER1)	PPE15 mper1 Rv1039c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	391
P9WI39	reviewed	PPE11_MYCTU	PPE family protein PPE11	PPE11 Rv0453	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	518
P9WI43	reviewed	PPE04_MYCTU	PPE family protein PPE4	PPE4 Rv0286	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	513
P9WI51	reviewed	RPE_MYCTU	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rpe Rv1408 MTCY21B4.25	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	229
P9WI53	reviewed	DPRP_MYCTU	Putative decaprenylphosphoryl-5-phosphoribose phosphatase Rv3807c (DPPR phosphatase) (EC 3.1.3.-) (Phospholipid phosphatase)	Rv3807c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	177
P9WI57	reviewed	PNP_MYCTU	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp Rv2783c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	752
P9WI61	reviewed	PLSB_MYCTU	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	plsB plsB2 Rv2482c MTV008.38c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	789
P9WI99	reviewed	Y3168_MYCTU	Putative aminoglycoside phosphotransferase (EC 2.7.1.-) (Putative aminoglycoside antibiotics resistance enzyme)	Rv3168	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	378
P9WIA7	reviewed	PIT_MYCTU	Probable low-affinity inorganic phosphate transporter	pit pitA Rv0545c MTCY25D10.24c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	417
P9WID1	reviewed	PGK_MYCTU	Phosphoglycerate kinase (EC 2.7.2.3)	pgk Rv1437 MTCY493.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	412
P9WID9	reviewed	BCPB_MYCTU	Putative peroxiredoxin Rv1608c (EC 1.11.1.24) (Bacterioferritin comigratory protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Rv1608c)	bcpB bcp1 Rv1608c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	154
P9WIF1	reviewed	PECA_MYCTU	PE cleavage protein A (PE-PGRS family protein PE_PGRS35)	pecA PE_PGRS35 Rv1983 MTCY39.36c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	558
P9WIH1	reviewed	PE15_MYCTU	PE family immunomodulator PE15	PE15 Rv1386 MTCY21B4.03	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	102
P9WII1	reviewed	MAZF2_MYCTU	Probable endoribonuclease MazF2 (EC 3.1.-.-) (Probable toxin MazF-mt4)	mazF2 mazF-mt4 Rv0659c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	102
P9WIJ3	reviewed	DEF_MYCTU	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def Rv0429c MTCY22G10.26c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	197
P9WIJ7	reviewed	PARD1_MYCTU	Antitoxin ParD1	parD1 Rv1960c MTCY09F9.04	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83
P9WIJ9	reviewed	PARB_MYCTU	Probable chromosome-partitioning protein ParB	parB Rv3917c MTV028.08c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344
P9WIL1	reviewed	PANE_MYCTU	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPR)	Rv2573 MTCY227.28c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	295
